frequency	V(onoise)
1.000000000000000e+00	2.929191e-07
1.023292992280754e+00	2.890004e-07
1.047128548050899e+00	2.851094e-07
1.071519305237606e+00	2.812456e-07
1.096478196143185e+00	2.774083e-07
1.122018454301963e+00	2.735969e-07
1.148153621496882e+00	2.698108e-07
1.174897554939529e+00	2.660495e-07
1.202264434617413e+00	2.623123e-07
1.230268770812381e+00	2.585988e-07
1.258925411794167e+00	2.549083e-07
1.288249551693134e+00	2.512406e-07
1.318256738556407e+00	2.475949e-07
1.348962882591653e+00	2.439710e-07
1.380384264602885e+00	2.403684e-07
1.412537544622754e+00	2.367867e-07
1.445439770745927e+00	2.332255e-07
1.479108388168207e+00	2.296845e-07
1.513561248436208e+00	2.261635e-07
1.548816618912481e+00	2.226621e-07
1.584893192461113e+00	2.191802e-07
1.621810097358929e+00	2.157175e-07
1.659586907437560e+00	2.122739e-07
1.698243652461743e+00	2.088493e-07
1.737800828749374e+00	2.054436e-07
1.778279410038922e+00	2.020568e-07
1.819700858609982e+00	1.986889e-07
1.862087136662866e+00	1.953399e-07
1.905460717963246e+00	1.920100e-07
1.949844599758044e+00	1.886993e-07
1.995262314968878e+00	1.854079e-07
2.041737944669527e+00	1.821361e-07
2.089296130854037e+00	1.788842e-07
2.137962089502230e+00	1.756525e-07
2.187761623949550e+00	1.724413e-07
2.238721138568337e+00	1.692510e-07
2.290867652767770e+00	1.660821e-07
2.344228815319919e+00	1.629350e-07
2.398832919019488e+00	1.598103e-07
2.454708915685027e+00	1.567084e-07
2.511886431509577e+00	1.536300e-07
2.570395782768860e+00	1.505757e-07
2.630267991895378e+00	1.475460e-07
2.691534803926912e+00	1.445418e-07
2.754228703338163e+00	1.415636e-07
2.818382931264450e+00	1.386122e-07
2.884031503126602e+00	1.356882e-07
2.951209226666381e+00	1.327925e-07
3.019951720402012e+00	1.299257e-07
3.090295432513586e+00	1.270885e-07
3.162277660168374e+00	1.242818e-07
3.235936569296277e+00	1.215063e-07
3.311311214825905e+00	1.187627e-07
3.388441561392020e+00	1.160518e-07
3.467368504525310e+00	1.133741e-07
3.548133892335748e+00	1.107306e-07
3.630780547701007e+00	1.081218e-07
3.715352290971718e+00	1.055483e-07
3.801893963205605e+00	1.030109e-07
3.890451449942799e+00	1.005100e-07
3.981071705534965e+00	9.804631e-08
4.073802778041119e+00	9.562031e-08
4.168693834703346e+00	9.323248e-08
4.265795188015918e+00	9.088329e-08
4.365158322401651e+00	8.857314e-08
4.466835921509622e+00	8.630239e-08
4.570881896148741e+00	8.407137e-08
4.677351412871972e+00	8.188035e-08
4.786300923226373e+00	7.972957e-08
4.897788193684452e+00	7.761922e-08
5.011872336272712e+00	7.554942e-08
5.128613839913638e+00	7.352028e-08
5.248074602497715e+00	7.153184e-08
5.370317963702516e+00	6.958410e-08
5.495408738576233e+00	6.767701e-08
5.623413251903478e+00	6.581050e-08
5.754399373371556e+00	6.398443e-08
5.888436553555876e+00	6.219862e-08
6.025595860743564e+00	6.045288e-08
6.165950018614807e+00	5.874693e-08
6.309573444801917e+00	5.708051e-08
6.456542290346539e+00	5.545328e-08
6.606934480075944e+00	5.386490e-08
6.760829753919801e+00	5.231497e-08
6.918309709189348e+00	5.080308e-08
7.079457843841362e+00	4.932878e-08
7.244359600749883e+00	4.789161e-08
7.413102413009157e+00	4.649108e-08
7.585775750291819e+00	4.512666e-08
7.762471166286898e+00	4.379783e-08
7.943282347242794e+00	4.250403e-08
8.128305161640972e+00	4.124470e-08
8.317637711026689e+00	4.001926e-08
8.511380382023743e+00	3.882711e-08
8.709635899560784e+00	3.766765e-08
8.912509381337431e+00	3.654027e-08
9.120108393559072e+00	3.544436e-08
9.332543007969884e+00	3.437927e-08
9.549925860214332e+00	3.334439e-08
9.772372209558078e+00	3.233908e-08
9.999999999999970e+00	3.136272e-08
1.023292992280751e+01	3.041466e-08
1.047128548050896e+01	2.949428e-08
1.071519305237603e+01	2.860094e-08
1.096478196143182e+01	2.773402e-08
1.122018454301960e+01	2.689289e-08
1.148153621496879e+01	2.607694e-08
1.174897554939526e+01	2.528555e-08
1.202264434617409e+01	2.451811e-08
1.230268770812378e+01	2.377404e-08
1.258925411794163e+01	2.305272e-08
1.288249551693130e+01	2.235358e-08
1.318256738556403e+01	2.167605e-08
1.348962882591649e+01	2.101955e-08
1.380384264602880e+01	2.038353e-08
1.412537544622749e+01	1.976745e-08
1.445439770745922e+01	1.917075e-08
1.479108388168202e+01	1.859293e-08
1.513561248436203e+01	1.803345e-08
1.548816618912476e+01	1.749181e-08
1.584893192461108e+01	1.696752e-08
1.621810097358924e+01	1.646009e-08
1.659586907437554e+01	1.596904e-08
1.698243652461738e+01	1.549392e-08
